Catégorie;Sous-acte;AMV;regex_pattern;code_acte
Consultation et diagnostic;Consultation générale;1;"(?i)\\bconsult(?:ation)?\\s+générale\\b";CONSULTATION_ET_DIAGNOSTIC_CONSULTATION_GENERALE
Consultation et diagnostic;Consultation d’urgence;1;"(?i)\\bconsult(?:ation)?\\s+d['’]?urgence\\b";CONSULTATION_ET_DIAGNOSTIC_CONSULTATION_D_URGENCE
Consultation et diagnostic;Téléconsultation;1;"(?i)\\bt[eé]l[eé]consult(?:ation)?\\b";CONSULTATION_ET_DIAGNOSTIC_TELECONSULTATION
Consultation et diagnostic;"Examen clinique (palpation; auscultation; température)";1;"(?i)\\bexamen\\s+clinique\\b|\\bpalpation\\b|\\bauscultation\\b|\\btemp[ée]rature\\b";CONSULTATION_ET_DIAGNOSTIC_EXAMEN_CLINIQUE
Consultation et diagnostic;Prélèvement sanguin diagnostique;1;"(?i)\\bpr[eé]l[eè]vement\\s+sanguin\\b|\\bdiagnostique\\b";CONSULTATION_ET_DIAGNOSTIC_PRELEVEMENT_SANGUIN
Consultation et diagnostic;Prélèvement d’urine diagnostique;1;"(?i)\\bpr[eé]l[eè]vement\\s+d['’]?urine\\b";CONSULTATION_ET_DIAGNOSTIC_PRELEVEMENT_URINE
Consultation et diagnostic;Prélèvement de selles diagnostique;1;"(?i)\\bpr[eé]l[eè]vement\\s+de\\s+selles\\b";CONSULTATION_ET_DIAGNOSTIC_PRELEVEMENT_SELLES
Consultation et diagnostic;Numération-formule sanguine;1;"(?i)\\bnum[eé]ration[-\\s]?formule\\b|\\bh[ée]mogramme\\b";CONSULTATION_ET_DIAGNOSTIC_NUMERATION_FORMULE
Consultation et diagnostic;Biochimie sanguine;1;"(?i)\\bbiochimie\\s+sanguine\\b";CONSULTATION_ET_DIAGNOSTIC_BIOCHIMIE_SANGUINE
Consultation et diagnostic;Sérologie infectieuse;1;"(?i)\\bse[é]rologie\\b.+infectieuse\\b";CONSULTATION_ET_DIAGNOSTIC_SEROLOGIE_INFECTIEUSE
Consultation et diagnostic;PCR diagnostic;1;"(?i)\\bPCR\\b|\\bpolymerase\\s+chain\\s+reaction\\b";CONSULTATION_ET_DIAGNOSTIC_PCR
Consultation et diagnostic;Radiographie (thorax);1;"(?i)\\bradiographie\\s*(?:thorax)\\b|\\bradio\\s+thorax\\b";CONSULTATION_ET_DIAGNOSTIC_RADIOGRAPHIE_THORAX
Consultation et diagnostic;Radiographie (abdomen);1;"(?i)\\bradiographie\\s*(?:abdomen)\\b|\\bradio\\s+abdomen\\b";CONSULTATION_ET_DIAGNOSTIC_RADIOGRAPHIE_ABDOMEN
Consultation et diagnostic;Radiographie (os);1;"(?i)\\bradiographie\\s*os\\b|\\bradio\\s+os\\b";CONSULTATION_ET_DIAGNOSTIC_RADIOGRAPHIE_OS
Consultation et diagnostic;Échographie abdominale;1;"(?i)\\b[eé]chographie\\s+abdominale\\b|\\becho\\s+abdo\\b";CONSULTATION_ET_DIAGNOSTIC_ECHOGRAPHIE_ABDOMINALE
Consultation et diagnostic;Échographie cardiaque;1;"(?i)\\b[eé]chographie\\s+cardiaque\\b|\\becho\\s+cardio\\b";CONSULTATION_ET_DIAGNOSTIC_ECHOGRAPHIE_CARDIAQUE
Consultation et diagnostic;Scanner (CT);1;"(?i)\\bscanner\\b|\\bCT\\b|\\bcomputed\\s+tomography\\b";CONSULTATION_ET_DIAGNOSTIC_SCANNER_CT
Consultation et diagnostic;IRM;1;"(?i)\\bIRM\\b|\\bimagerie\\s+par\\s+r[eé]sonance\\b";CONSULTATION_ET_DIAGNOSTIC_IRM
Consultation et diagnostic;Gastroscopie;1;"(?i)\\bgastroscopie\\b|\\bfibroscopie\\s+œsophagienne\\b";CONSULTATION_ET_DIAGNOSTIC_GASTROSCOPIE
Consultation et diagnostic;Rhinoscopie;1;"(?i)\\brhinoscopie\\b";CONSULTATION_ET_DIAGNOSTIC_RHINOSCOPIE
Consultation et diagnostic;Bronchoscopie;1;"(?i)\\bbronchoscopie\\b";CONSULTATION_ET_DIAGNOSTIC_BRONCHOSCOPIE
Consultation et diagnostic;Cœlioscopie (laparoscopie);1;"(?i)\\bco[ée]lioscopie\\b|\\blaparoscopie\\b";CONSULTATION_ET_DIAGNOSTIC_COELIOSCOPIE
Consultation et diagnostic;Cytopathologie;1;"(?i)\\bcytopathologie\\b";CONSULTATION_ET_DIAGNOSTIC_CYTOPATHOLOGIE
