"Médicament (générique)","Principaux médicaments commerciaux / génériques","Catégorie thérapeutique","Variantes / Synonymes OCR"
"Acepromazine","ACPROMAZINE™, Acepril","Sédatif / tranquillisant / antiémétique","ACEPROMAZINE, ACPROMAZINE, SÉDATIF, TRANQUILISATION"
"Afoxolaner","NexGard®, Simparica®","Antiparasitaire externe (puces, tiques)","AFOXOLANER, NEXGARD, SIMPARICA, ANTIPARA EXTERNE"
"Albendazole","Panacur®, Fenbendazole*","Anthelminthique","ALBENDAZOLE, PANACUR, FENBENDAZOLE"
"Amantadine","Amantadine","Analgésique (douleur chronique)","AMANTADINE, ANALGÉSIE"
"Aminophylline","Aminophylline","Bronchodilatateur","AMINOPHYLLINE"
"Amitriptyline","Amitriptyline, Clomicalm®","Tricyclique (comportement)","AMITRIPTYLINE, CLOMIPRAMINE, CLOMICALM"
"Amlodipine","Amlodipine","Antihypertenseur (calcium-bloquant)","AMLODIPINE"
"Amoxicillin","Clavamox®, Amoxi®","Antibiotique (bêta-lactame)","AMOXICILLIN, CLAVAMOX, AMOXI"
"Ampicillin","Ampicillin","Antibiotique (bêta-lactame)","AMPICILLIN"
"Apomorphine","Apomorphine","Émétiques","APOMORPHINE"
"Atenolol","Atenolol","Antihypertenseur (bêta-bloquant)","ATENOLOL"
"Atipamezole","Antisedan®","Antagoniste α₂ (réversion anesthésie)","ATIPAMEZOLE, ANTISEDAN"
"Azathioprine","Azathioprine","Immunosuppresseur","AZATHIOPRINE"
"Azithromycin","Azithromycin","Antibiotique (macrolide)","AZITHROMYCIN"
"Benazepril","Fortekor®","Inhibiteur ECA","BENAZEPRIL"
"Bethanechol","Bethanechol","Stimulateur vésical","BETHANECHOL"
"Bexagliflozin","Bexacat™","Antidiabétique oral","BEXAGLIFOZIN, BEXACAT"
"Bupivacaine","Bupivacaine","Anesthésique local","BUPIVACAINE"
"Buprenorphine","Simbadol®, Buprenex®","Analgésique opioid","BUPRENORPHINE, SIMBADOL, BUPRENEX"
"Butorphanol","Butorphanol","Analgésique opioid / antitussif","BUTORPHANOL"
"Capromorelin","Entyce®, Elura®","Stimulateur d’appétit","CAPROMORELIN, ENTYCE, ELURA"
"Carprofen","Rimadyl®, Carprofen","AINS (COX-2 sélectif)","CARPROFEN, RIMADYL"
"Ceftiofur","Naxcel®","Antibiotique (céphalosporine)","CEFTIOFUR"
"Cefpodoxime","Simplicef™","Antibiotique (céphalosporine)","CEFPODOXIME"
"Cephalexin","Rilexine®","Antibiotique (céphalosporine)","CEPHALEXIN"
"Chloramphenicol","Chloramphenicol","Antibiotique (phénicol)","CHLORAMPHENICOL"
"Chlorhexidine","Chlorhexidine","Antiseptique","CHLORHEXIDINE"
"Chlorpromazine","Chlorpromazine","Sédatif, antiémétique","CHLORPROMAZINE"
"Cimetidine","Cimetidine","Antihistaminique H2","CIMETIDINE"
"Ciprofloxacin","Baytril®, Enrofloxacin*","Antibiotique (fluoroquinolone)","CIPROFLOXACIN"
"Cisapride","Cisapride","Prokinétique gastro-intestinal","CISAPRIDE"
"Clindamycin","Clindamycin","Antibiotique (lincosamide)","CLINDAMYCIN"
"Clotrimazole","Otomax®, Posatex®","Antifongique / antiparasitaire auriculaire","CLOTRIMAZOLE"
"Clomipramine","Clomicalm®","Tricyclique (comportement)","CLOMIPRAMINE, CLOMICALM"
"Clopidogrel","Clopidogrel","Antiagrégant plaquettaire","CLOPIDOGREL"
"Cyclophosphamide","Cyclophosphamide","Antineoplasique","CYCLOPHOSPHAMIDE"
"Cyclosporine","Atopica®","Immunosuppresseur","CYCLOSPORINE, A TOPICA"
"Cyanocobalamine","Vitamine B12","Vitamine","CYANOCOBALAMINE"
"Dantrolene","Dantrolene","Relaxant musculaire","DANTROLENE"
"Dexamethasone","Dexamethasone","Corticostéroïde","DEXAMETHASONE"
"Diazepam","Valium®, Diazepam","Benzodiazépine (antiépileptique, sédatif)","DIAZEPAM"
"Diphenhydramine","Benadryl®, Vetadryl®","Antihistaminique H1","DIPHENHYDRAMINE"
"Doramectin","Doramectin","Antiparasitaire (endectocide)","DORAMECTIN"
"Doxycycline","Doxycycline","Antibiotique (tétracycline)","DOXYCYCLINE"
"Enalapril","Enalapril","Inhibiteur ECA","ENALAPRIL"
