Catégorie;field_label;Définition;Variantes/Synonymes;regex_pattern
Détails TVA et Taxes;Taux de TVA par ligne d’acte;Pourcentage de TVA appliqué à chaque prestation;% TVA|TVA 20%|TAUX TVA;(?i)^\s*%?\sTVA\b
Détails TVA et Taxes;Montant TVA HT et TTC;Montants de TVA hors taxes et toutes taxes comprises;MONTANT TVA|TVA HT|TVA TTC;(?i)^\sMONTANT\sTVA\b
Détails TVA et Taxes;Codes TVA (exonération, taux réduits);Codes ou mentions légales des taux et exonérations;EXO TVA|TVA REDUIT|FRANCHISE;(?i)^\sEXO\b
Totaux et Récapitulatif;Total HT global;Somme de tous les montants hors taxes;TOTAL HT|MONTANT HT;(?i)^\sTOTAL\sHT\b
Totaux et Récapitulatif;Total TVA global;Somme de toutes les TVA appliquées;TOTAL TVA;(?i)^\sTOTAL\sTVA\b
Totaux et Récapitulatif;Total TTC global;Somme finale toutes taxes comprises;TOTAL TTC;(?i)^\sTOTAL\sTTC\b
Totaux et Récapitulatif;Acomptes versés et soldes dus;Montants déjà versés en acompte et reste à payer;ACOMPTE|SOLDE|RESTE DÛ;(?i)^\sACOMPTE\b
Conditions de Paiement;Mode de paiement;Moyens utilisés (virement, chèque, CB, prélèvement);VIREMENT|CHEQUE|CB|PRELEVEMENT;(?i)^\sVIREMENT\b
Conditions de Paiement;Délai de paiement;Nombre de jours accordés avant échéance;NET 30|NET 60;(?i)^\sNET\s\d{1,3}\b
Conditions de Paiement;IBAN / BIC;Coordonnées bancaires de l’émetteur;IBAN|BIC;(?i)^\sIBAN\b
Conditions de Paiement;Escompte pour paiement anticipé;Taux ou montant de réduction en cas de paiement avant terme;ESCOMPTE|REMISE ANTICIPEE;(?i)^\sESCOMPTE\b
